"Region"	"villes"	"latitude"	"longitude"	"janvier"	"fevrier"	"mars"	"avril"	"mai"	"juin"	"juillet"	"aout"	"septembre"	"octobre"	"novembre"	"decembre"	"amplitude"	"geographie"	"region"	"numregion"	"PIB.hab2008"	"PIB.2008"
"Alsace"	"Strasbourg"	48.35	7.45	8	10.3	10.5	14.1	23.1	24.2	25.5	24.4	15.2	15.8	9.8	4.2	21.3	"Est"	"Est"	2	28336	52140
"Aquitaine"	"Biarritz"	43.29	-1.34	13.7	16.3	13.9	17	21	21.3	23.4	24	22.1	18.6	12.7	10.6	13.4	"Ouest"	"sud ouest"	1	26256	83808
"Aquitaine"	"Bordeaux"	44.5	-0.34	12.1	15.4	13.2	17	22	23.8	26.1	25.8	25.8	18.4	12.4	9	17.1	"Ouest"	"sud ouest"	1	26256	83808
"Aquitaine"	"Toulouse"	43.36	1.26	11.6	14.9	12.9	17.3	21.8	24.5	27.3	27.3	20.6	19.2	11.3	8.2	19.1	"Sud"	"Sud"	4	26256	83808
"Auvergne"	"Clermont-Fd"	45.47	3.05	11	13.3	11.5	15	21.9	22.5	25.7	25.2	20.7	16.8	10.3	5.4	20.3	"Est"	"Est"	2	24281	32608
"Auvergne"	"Vichy"	46.08	3.26	10.9	13	11.5	15.2	22.3	23	25.5	24.8	18.2	16.6	10.4	5.5	20	"Est"	"Est"	2	24281	32608
"Bourgogne"	"Dijon"	47.19	5.01	7.4	11.9	10.6	13.9	21.6	22.9	25.5	24	18.7	14.8	9.8	4.7	20.8	"Est"	"Est"	2	25815	42350
"Bretagne"	"Brest"	48.24	-4.29	11	12.4	10.9	13.2	18.6	18.9	20	19.3	18	14.9	11.6	8.7	11.3	"Ouest"	"Ouest"	1	25272	79918
"Bretagne"	"Rennes"	48.05	-1.41	10.7	12.2	11.7	15	21	22.1	23.5	22.4	18	16	9	5.7	17.8	"Ouest"	"nord ouest"	1	25272	79918
"Centre"	"Tours"	47.23	0.41	9.7	11.5	11.1	14.1	21.1	22.7	25.5	24.5	17.8	16.1	10.6	6.4	19.1	"Ouest"	"Ouest"	1	25428	64463
"Centre"	"Orléans"	47.55	1.54	9	11	10.8	13.9	21.3	22.4	25.6	24.4	17.2	16.3	10.4	5.5	20.1	"Ouest"	"Ouest"	1	25428	64463
"Champagne-Ardenne"	"Reims"	49.15	4.02	8.7	10.3	9.8	14	22.6	22	24.8	23.3	15.8	15.1	11.8	7.9	16.9	"Est"	"Est"	2	26787	35840
"Franche-Comté"	"Besançon"	47.15	6.02	8.6	11.1	9.6	13.7	21.9	22.3	25	22.7	16.9	13.3	9.3	4	21	"Est"	"Est"	2	24195	28213
"Haute-Normandie"	"Caen"	49.11	-0.21	10.1	10.9	10.6	13.9	19.8	20.1	23.1	26.1	18.8	15.4	11.2	7	19.1	"Nord"	"Nord"	3	26258	48035
"Haute-Normandie"	"Rouen"	49.26	1.05	8.9	10.4	11	13.6	20.8	20.7	22.7	21.8	15.6	14.4	10.3	5.6	17.1	"Nord"	"Nord"	3	26258	48035
"Ile-de-France"	"Paris"	48.52	2.2	9.6	10.9	10.9	14.9	22.3	22.7	25.2	23.5	16.8	15.3	10.6	5.6	19.6	"Nord"	"Nord"	3	49298	576480
"Languedoc-Roussillon"	"Montpellier"	43.36	3.53	13.8	14.1	15.9	18.3	21.5	26.8	28.4	28.4	21.4	19.7	14.9	11.2	17.2	"Sud"	"Sud"	4	23645	61389
"Languedoc-Roussillon"	"Nîmes"	43.5	4.21	13.1	14.1	15.3	18.5	22.7	27.6	30.2	30.3	21.3	19.7	11.1	9.9	20.4	"Sud"	"Sud"	4	23645	61389
"Languedoc-Roussillon"	"Perpignan"	42.41	2.53	14.9	15.8	16.1	19.1	22.3	26.7	28.9	29.4	22.4	21.2	15	11.6	17.8	"Sud"	"Sud"	4	23645	61389
"Limousin"	"Limoges"	45.5	1.16	9.6	12.6	9.2	13.1	19.4	21.5	23.4	22.4	17	15.1	8.6	6.3	17.1	"Ouest"	"Ouest"	1	23166	17172
